Game,Units_Sold,Series,Platform,Initial release date,Developer,Publisher,Franchise_Flag,Platform_Group,Initial_Release,Years_Since_Release
minecraft,350000000,Minecraft,MULTI-PLATFORM,"November 18, 2011[c]",Mojang Studios,Mojang Studios / Xbox Game Studios,1,MULTI,,
grand theft auto v,215000000,Grand Theft Auto,MULTI-PLATFORM,17-Sep-13,Rockstar North,Rockstar Games,1,MULTI,2013-09-17,12.0
wii sports,82900000,Wii,WII,19-Nov-06,Nintendo EAD,Nintendo,1,CONSOLE,2006-11-19,19.0
ark: survival evolved,79045000,Ark,MULTI-PLATFORM,29-Aug-17,Studio Wildcard,Studio Wildcard,1,MULTI,2017-08-29,8.0
mario kart 8 / deluxe,76660000,Mario Kart,WII U / SWITCH,29-May-14,Nintendo EAD / Nintendo EPD (Deluxe),Nintendo,1,CONSOLE,2014-05-29,11.0
pokémon red / blue / yellow,76140000,Pokémon,MULTI-PLATFORM,27-Feb-96,Game Freak,Nintendo,1,MULTI,1996-02-27,29.0
pubg: battlegrounds,75000000,PUBG Universe,MULTI-PLATFORM,20-Dec-17,PUBG Studios,Krafton,1,MULTI,2017-12-20,8.0
red dead redemption 2,74000000,Red Dead,MULTI-PLATFORM,26-Oct-18,Rockstar Games,Rockstar Games,1,MULTI,2018-10-26,7.0
the sims,70000000,The Sims,MULTI-PLATFORM,4-Feb-00,Maxis,Electronic Arts,1,MULTI,2000-02-04,25.0
the oregon trail,65000000,The Oregon Trail,MULTI-PLATFORM,3-Dec-71,Don Rawitsch Bill Heinemann Paul Dillenberger,MECC,1,MULTI,2071-12-03,-46.0
terraria,64000000,Terraria,MULTI-PLATFORM,16-May-11,Re-Logic,Re-Logic / 505 Games,1,MULTI,2011-05-16,14.0
super mario bros.,58000000,Super Mario,MULTI-PLATFORM,13-Sep-85,Nintendo R&D4,Nintendo,1,MULTI,1985-09-13,40.0
human: fall flat,55000000,Human: Fall Flat,MULTI-PLATFORM,22-Jul-16,No Brakes Games,Curve Digital,1,MULTI,2016-07-22,9.0
bejeweled,50000000,Bejeweled,MULTI-PLATFORM,2000,PopCap Games,PopCap Games,1,MULTI,2000-01-01,25.0
overwatch,50000000,Overwatch,MULTI-PLATFORM,24-May-16,Blizzard Entertainment,Blizzard Entertainment,1,MULTI,2016-05-24,9.0
the witcher 3: wild hunt,50000000,The Witcher,MULTI-PLATFORM,19-May-15,CD Projekt Red,CD Projekt,1,MULTI,2015-05-19,10.0
